,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,Season,League
0,1,Real Madrid,5,5,0,0,10,3,7,15,3.0,9.1,5.0,4.1,0.83,W W W W W,68420.0,Jude Bellingham - 5,Kepa Arrizabalaga,,2023-2024,La-Liga
1,2,Barcelona,5,4,1,0,13,4,9,13,2.6,12.3,5.2,7.1,1.43,D W W W W,42329.0,"Robert Lewandowski, Ferrán Torres - 3",Marc-André ter Stegen,,2023-2024,La-Liga
2,3,Girona,5,4,1,0,11,4,7,13,2.6,7.7,6.1,1.6,0.32,D W W W W,11702.0,"Cristhian Stuani, Yangel Herrera - 2",Paulo Gazzaniga,,2023-2024,La-Liga
3,4,Athletic Club,5,3,1,1,9,4,5,10,2.0,8.3,3.4,4.9,0.99,L W W D W,45383.0,Gorka Guruzeta - 3,Unai Simón,,2023-2024,La-Liga
4,5,Valencia,5,3,0,2,7,4,3,9,1.8,6.4,4.4,2.0,0.4,W W L L W,42963.0,Hugo Duro - 3,Giorgi Mamardashvili,,2023-2024,La-Liga
5,6,Rayo Vallecano,5,3,0,2,6,8,-2,9,1.8,8.9,7.7,1.1,0.23,W W L L W,13041.0,Isaac Palazón Camacho - 2,Stole Dimitrievski,,2023-2024,La-Liga
6,7,Atlético Madrid,4,2,1,1,10,4,6,7,1.75,6.9,3.5,3.4,0.85,W D W L,56164.0,Álvaro Morata - 3,Jan Oblak,,2023-2024,La-Liga
7,8,Getafe,5,2,1,2,5,7,-2,7,1.4,4.4,7.4,-3.0,-0.61,D L W L W,11414.0,Borja Mayoral - 2,David Soria,,2023-2024,La-Liga
8,9,Cádiz,5,2,1,2,5,7,-2,7,1.4,5.7,7.1,-1.4,-0.27,W L D W L,18839.0,Darwin Machís - 2,Jeremías Ledesma,,2023-2024,La-Liga
9,10,Betis,5,2,1,2,5,10,-5,7,1.4,4.1,8.2,-4.1,-0.82,W D L W L,51201.0,Willian José - 3,Rui Silva,,2023-2024,La-Liga
10,11,Real Sociedad,5,1,3,1,8,7,1,6,1.2,6.7,5.4,1.2,0.24,D D D W L,29670.0,"Takefusa Kubo, Ander Barrenetxea - 3",Álex Remiro,,2023-2024,La-Liga
11,12,Osasuna,5,2,0,3,7,8,-1,6,1.2,5.4,6.7,-1.3,-0.26,W L W L L,21335.0,"Rubén García, Moi Gómez... - 1",Sergio Herrera,,2023-2024,La-Liga
12,13,Villarreal,5,2,0,3,8,10,-2,6,1.2,5.8,8.1,-2.2,-0.45,L W L L W,19324.0,Alexander Sørloth - 3,Filip Jørgensen,,2023-2024,La-Liga
13,14,Alavés,5,2,0,3,5,7,-2,6,1.2,4.7,6.9,-2.1,-0.43,L W L W L,15975.0,Kiké - 2,Antonio Sivera,,2023-2024,La-Liga
14,15,Mallorca,5,1,2,2,4,5,-1,5,1.0,5.7,6.1,-0.4,-0.07,D L L D W,17409.0,"Abdón Prats, Antonio Raillo... - 1",Predrag Rajković,,2023-2024,La-Liga
